iter	Passed	Remaining
795	2479	635
796	2481	632
797	2484	628
798	2493	627
799	2513	628
800	2533	629
801	2535	626
802	2537	622
803	2539	619
804	2541	615
805	2543	612
806	2544	608
807	2546	605
808	2548	601
809	2550	598
810	2552	594
811	2554	591
812	2555	587
813	2557	584
814	2559	581
815	2583	582
816	2601	582
817	2627	584
818	2655	586
819	2673	586
820	2685	585
821	2702	585
822	2720	585
823	2738	584
824	2741	581
825	2746	578
826	2766	578
827	2774	576
828	2783	574
829	2787	570
830	2789	567
831	2791	563
832	2793	560
833	2795	556
834	2797	552
835	2799	549
836	2800	545
837	2802	541
838	2804	538
839	2806	534
840	2808	530
841	2830	531
842	2852	531
843	2876	531
844	2900	531
845	2919	531
846	2947	532
847	2971	532
848	2999	533
849	3001	529
850	3003	525
851	3004	521
852	3006	518
853	3008	514
854	3010	510
855	3012	506
856	3013	502
857	3015	499
858	3017	495
859	3019	491
860	3020	487
861	3022	483
862	3024	480
863	3026	476
864	3028	472
865	3030	468
866	3032	465
867	3034	461
868	3036	457
869	3038	453
870	3040	450
871	3041	446
872	3043	442
873	3045	439
874	3047	435
875	3049	431
876	3050	427
877	3052	424
878	3054	420
879	3056	416
880	3058	413
881	3060	409
882	3062	405
883	3064	402
884	3065	398
885	3067	394
886	3069	391
887	3071	387
888	3073	383
889	3075	380
890	3076	376
891	3078	372
892	3080	369
893	3082	365
894	3084	361
895	3086	358
896	3088	354
897	3090	351
898	3092	347
899	3093	343
900	3096	340
901	3098	336
902	3100	333
903	3102	329
904	3103	325
905	3105	322
906	3107	318
907	3109	315
908	3111	311
909	3112	307
910	3114	304
911	3116	300
912	3118	297
913	3119	293
914	3121	290
915	3123	286
916	3125	282
917	3127	279
918	3141	276
919	3169	275
920	3189	273
921	3216	272
922	3236	270
923	3260	268
924	3280	265
925	3295	263
926	3316	261
927	3336	258
928	3351	256
929	3375	254
930	3399	251
931	3423	249
932	3443	247
933	3459	244
934	3460	240
935	3462	236
936	3463	232
937	3465	229
938	3470	225
939	3498	223
940	3511	220
941	3522	216
942	3534	213
943	3536	209
944	3537	205
945	3538	202
946	3542	198
947	3543	194
948	3544	190
949	3546	186
950	3547	182
951	3548	178
952	3550	175
953	3551	171
954	3552	167
955	3554	163
956	3555	159
957	3556	155
958	3558	152
959	3559	148
960	3560	144
961	3561	140
962	3563	136
963	3564	133
964	3565	129
965	3566	125
966	3568	121
967	3569	118
968	3570	114
969	3572	110
970	3573	106
971	3574	102
972	3583	99
973	3608	96
974	3615	92
975	3639	89
976	3655	86
977	3670	82
978	3686	79
979	3695	75
980	3710	71
981	3718	68
982	3720	64
983	3721	60
984	3723	56
985	3724	52
986	3729	49
987	3749	45
988	3758	41
989	3759	37
990	3761	34
991	3777	30
992	3801	26
993	3816	23
994	3828	19
995	3834	15
996	3836	11
997	3841	7
998	3843	3
999	3845	0
